game_id,name,accessories,description,language,suitable_age,playtime,policy,designer,publisher,location
1,終極密碼  Da Vinci code,"26 張數字牌, 1份說明書","每位玩家要在自己的數字牌被對手完全猜出前，搶先猜出對手所有的數字牌！但是面對空白的牌背，如何能猜到對手的數字牌呢？玩家雖然只知道自己擁有哪些數字，在遊戲過程中，藉由分析逐漸增加的資訊：其它玩家的猜測、及陸續攤開的牌，慢慢推敲出每張牌正確的數字！
你能搶先猜出對手的牌嗎？","中文 : 遊戲中沒有必要的文字 (No necessary in-game text )
",10,20,可外借,"Eiji Wakasugi

","Swan Panasia Co., Ltd.

",台北歌德學院 書架編號
6,驢橋 Eselsbrücke,"180 張圖片板塊, 30 張停止板塊, 6 張玩家版圖, 1 個思考泡泡, 1 隻木頭驢子, 1 只麻布袋, 1份 說明書","如何輕易地記住多個不相關的東西呢？
很簡單！只要藉由一小段故事的幫助，加上一點巧思與創意，把這段故事變得趣意橫生，就可以讓其他人很容易地記住。
本遊戲內含180張有趣可愛的全彩圖片，讓你可以盡情發揮天馬行空的想像力，你創造的故事若能讓人朗朗上口，就越容易讓人記住裡面提到的關鍵字。
驢橋是一款超好玩的瞎說話記憶遊戲，只要善用故事記憶法以及圖片記憶法，你將發現你的記憶力正在突飛猛進⋯⋯原來記東西也可以這麼有趣！",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,30,可外借,"Stefan Dorra, Ralf zur Linde 作 ; Michael Menzel 繪","Swan Panasia Co., Ltd.",台北歌德學院 書架編號
9,卡卡頌 Carcassonne 3.0,"72 片版圖, 12 片河流起始版圖, 1 張計分板, 40 位手下, 5 位修道院長, 1 份說明書","卡卡頌是位於法國南部的一座美麗古城，也是中古時代教會對抗異教徒的重鎮 ，這座城堡牢不可破的防禦工事，不論是在當時或今天都堪稱一絕！
在一塊塊拼起的版圖中有城堡、道路、草原和修道院，隨著回合的進行，版圖將逐漸擴大。
玩家如同中古時代的君王或諸侯，派遣手下去開疆拓土，手下可擔任騎士、強盜、農夫或修士，去建立、管理或佔領城堡、道路、草原和修道院。每拼放一塊版圖，玩家就有機會派遣手下擔任一個角色，如何拼放和派遣才能讓你在遊戲終了時獲得最高的分數？在你發現大好的得分機會時，手中還有可以派遣的手下嗎？
",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),7,35,不可外借,"Klaus-Jürgen Wrede 作 ; Anne Pätzke, Chris Quilliams 繪","Swan Panasia Co., Ltd.",台北歌德學院 書架編號
7,多米諾王國 Kingdomino,"4 片起始板塊, 4 座城堡, 48 片多米諾板塊, 8位木質國王,  1 份說明書","身為國王，你正在尋找新土地來擴張王國的勢力並提高聲望，必須探索所有的土地、麥田、湖泊以及山脈，來找到最棒的領地。但是要小心，其他的國王也在覬覦這些土地唷！
選擇適當的多米諾板塊，妥善地將相同的地形拼放在一起，形成最大的領土，並透過事前的規劃，讓你王國中的每一寸土地都得到完善的利用，以獲得最高的聲望分數！
",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,15,可外借,Bruno Cathala 作 ; Cyril Bouquet 繪,"Swan Panasia Co., Ltd.",台北歌德學院 書架編號
5,Leg los! 極簡大思,"92 張圖板, 1 張展示板, 1 張計分板, 1 個沙漏, 1 條擴充軌, 1 份說明書","你得在短短幾秒鐘內，拼放一個圖案，你會訝異其他玩家竟能在你完成前，猜到你的題目是什麼。
一瞬間，黃色的圓片變成朝陽⋯⋯或是一顆荷包蛋⋯⋯也或許是一個熱氣球⋯⋯
跟著直覺走，開始吧！
",德文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,30,可外借,Carlo A. Rossi 作 ; Benedikt Beck 繪,Zoch Verlag,台北歌德學院 書架編號
2,小羊躲妙妙 Hide the kids!,"7 件傢俱, 1 頭野狼, 7 隻小羊, 7 張小羊照片, 40 個分數方塊, 1 份說明書","大人都外出了，只剩小羊們在家，聽見有人敲門，原來是大野狼在門外站著。
他問：「你們知道大野狼和7 隻小羊的童話故事嗎？你們躲起來，然後我吃…呃…找你們。」大野狼立刻轉過頭、閉起雙眼，並慢慢數到5。當牠張開眼睛時，已經看不到任何一隻小羊了。小羊們的聰明、機智和好運能讓牠們勝過大野狼的利爪嗎？",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),4,20,可外借,"Fréderic Moyersoen 作 ; Gabriela Silveira 繪

","Swan Panasia Co., Ltd.


",台北歌德學院 書架編號
4,紐約 1901 New York 1901,"1 張遊戲版圖, 5 張角色牌, 5 張街道獎勵牌, 5 張挑戰獎勵牌, 65 張地, 4 個摩天大樓計分標記物, 16 名工人, 4 個國王標記物, 12 張行動牌, 76 個摩天大樓板塊, 4 個傳奇摩天大樓板塊, 1 份中文說明書, 1 份英文書名書","為紐約進行都市更新，開啟下一階段的輝煌歷史。
在曼哈頓下城區一些最具標誌性街道上建設更高更大的摩天大樓。
建造出四大傳奇摩天大樓之一：公園街大樓、勝家大樓、曼哈頓人壽保險大樓、伍爾沃斯大樓，使其成為你房地產帝國王冠上一顆璀璨的寶石。",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,30,可外借,Chenier La Salle 作 ; Vincent Dutrait 繪,"Swan Panasia Co., Ltd.",台北歌德學院 書架編號
8,惡魔島 Cartagena,"8 張雙面地圖圖板, 102 張紙牌, 1 張完好的小艇圖板, 1 張半沉的小艇圖板, 1 張監獄圖板, 1 張海盜灣圖板, 30 名海盜, 8 枚寶箱圓片, 1 份說明書","進入惡魔島的奇異世界，請自由選擇各種規則及劇本組合來進行本遊戲！讓您體驗無盡的可能性！
首先，選擇要使用哪一個劇本：基本版重現了越獄行動的第一部份：從監獄逃至小艇；您也可以選擇進行第二部份：穿越托爾蒂島的叢林；或是進行越獄及穿越叢林的完整劇本。並藉由調整地圖圖板與海盜數量來縮短或延長遊戲時間。
然後，你可以試試「摩根」變體規則：採用全新的手牌補充方式，將迫使您嘗試截然不同的策略來進行遊戲。
",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,30,不可外借,Leo Colovini 作 ; Massimiliano Longo 繪,"Swan Panasia Co., Ltd",台北歌德學院 書架編號
3,Mit Quacks & Co. nach Quedlinburg  郎中闖江湖兒童版,"1 張遊戲板, 126 片食物圓片, 18 片瞌睡草圓片, 26 片幸運草, 40 顆紅寶石, 4 張動物牌（驢、羊、豬、牛各1）, 4 個動物米寶（驢、羊、豬、牛各1）, 6 張獎勵牌, 2 顆骰子（白色、原木色各1）, 4 只食物袋, 1 份附錄, 1 份說明書","哈茲山北方的奎德林堡有個出名的市集，每年都為小朋友舉辦一場競賽，今年歡迎你一起參加！
你扮演小小郎中，和驢子以及其他動物朋友參與競賽，想辦法讓你的動物夥伴在比賽中多吃補充體力的食物，讓牠跑得更快！
若是吃到了瞌睡草，牠就會在比賽途中停下來，原地作起白日夢⋯⋯
別忘了收集沿途的紅寶石，用它們買更多食物，朝終點全速前進，贏得閃閃發亮的黃金大釜！

Jedes Jahr, am Tag vor dem berühmten Markt in Quedlinburg, wird traditionell das große Wettreiten der Kinder der Stadt veranstaltet. 2-4 Spielerinnen und Spieler gehen mit dem Esel Quacks und seinen Freunden an den Start und locken die Tiere mit dem richtigen Futter vorwärts. Aber hier wird es kompliziert, denn nicht jedes Futter bringt die Vierbeiner gleich weit voran. Da heißt es, die richtige Kombination finden, um möglichst schnell zu sein. Aber manchmal hat sich auch ein Traumkraut in den Beutel verirrt und das Tier gönnt sich lieber eine kleine Pause. Unterwegs müssen Rubine gesammelt werden, mit denen neues, vielleicht noch besseres, Futter gekauft werden kann. Wer bringt sein Tier mit einer guten Mischung aus Taktik und Glück schnell voran, kommt zuerst ins Ziel und gewinnt am Ende den goldenen Kessel?",德文 : 遊戲中沒有必要的文字 (No necessary in-game text) ,6,25,不可外借,"Wolfgang Warsch 作 ; Michael Menzel 繪

","Schmidt Spiele

",台北歌德學院 438.92 Deu
10,過河拆橋 River dragons,"1 張遊戲地圖, 78 張行動牌, 6 個人偶, 36 座橋, 1 張起始玩家牌, 27 顆石頭指示物, 1 份說明書","疊石造橋，跨越天險，還要閃避惡龍！
究竟誰才能成為第一位橫渡湄公河的勇士呢？

湄公河三角洲住了一條惡龍，總是在人們過河時出來搗亂，所以，為了順利過河，人們總要處心積慮的安排每一個步驟：先建橋墩、搭橋樑、走一步或兩步、拆橋或為了阻擋別人不惜召喚惡龍！
如果自己安排的步驟無法完成，就會失足落河，必須從頭開始，到底誰能最早回家？
",中文 : 遊戲中沒有必要的文字 (No necessary in-game text ),8,30,不可外借,"Roberto Fraga 作 ; Pierô, Guillaume Rohmer, Cyril Saint Blancat 繪","Swan Panasia Co., Ltd.",台北歌德學院 書架編號
